,inputGrad,IntegratedGradients,deepLift,kernalshap,lime,gradientshap
0,1.1082347631454468,-0.6700296401977539,1.1082357168197632,-0.007913271896541119,-0.5240795612335205,-1.102455496788025
1,0.43677783012390137,0.48825278878211975,0.4367780089378357,0.03847826272249222,0.1490369588136673,0.5391752123832703
2,-0.1966656595468521,0.08423689007759094,-0.19666580855846405,0.010202600620687008,0.0,0.15443608164787292
3,-0.06061797961592674,-0.003848801366984844,-0.06061801686882973,0.007081399671733379,0.0,-0.01382165215909481
4,0.12295711785554886,0.05200144648551941,0.12295718491077423,0.003666501957923174,-0.008380361832678318,0.05289096757769585
5,-0.018185246735811234,-0.09740571677684784,-0.018185198307037354,0.006451019551604986,0.0,-0.12736371159553528
6,0.42243772745132446,0.1666662096977234,0.42243802547454834,-0.00015767017612233758,0.04120601713657379,0.09739136695861816
7,-0.04234624281525612,-0.04377984255552292,-0.0423462875187397,-0.008280590176582336,0.0,-0.04648589342832565
8,0.029295803979039192,0.0075648194178938866,0.029295839369297028,-0.007913273759186268,0.0,-0.00013985659461468458
9,0.04815378040075302,0.04090825095772743,0.048153746873140335,-0.007913273759186268,0.0,0.028746936470270157
