,inputGrad,IntegratedGradients,deepLift
0,1.1082347631454468,-0.6700296401977539,1.1082357168197632
1,0.43677783012390137,0.48825278878211975,0.4367780089378357
2,-0.1966656595468521,0.08423689007759094,-0.19666580855846405
3,-0.06061797961592674,-0.003848801366984844,-0.06061801686882973
4,0.12295711785554886,0.05200144648551941,0.12295718491077423
5,-0.018185246735811234,-0.09740571677684784,-0.018185198307037354
6,0.42243772745132446,0.1666662096977234,0.42243802547454834
7,-0.04234624281525612,-0.04377984255552292,-0.0423462875187397
8,0.029295803979039192,0.0075648194178938866,0.029295839369297028
9,0.04815378040075302,0.04090825095772743,0.048153746873140335
